country,area,event,description,source
Argentina,Emergency powers,Declaration of emergency,"Yes, 'state of emergency' [Part II.A].",https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e21?prd=OCC19#law-occ19-e21-div2-2
Argentina,Emergency powers,Constitutional,No [Part II.A].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e21?prd=OCC19#law-occ19-e21-div2-2
Argentina,Emergency powers,Statutory,No [Part II.A].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e21?prd=OCC19#law-occ19-e21-div2-2
Argentina,Emergency powers,Suspension of bill of rights,"Yes, but de facto [Part II.A].",https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e21?prd=OCC19#law-occ19-e21-div2-2
Argentina,Emergency powers,Suspension/postponement of elections,"Postponed (In 2020, only local elections had to be held during the pandemic. Two small municipal elections in Córdoba and Santa Fe were postponed in March and May due to the public health measures. Río Cuarto (a city of around 140,000 inhabitants) finally voted in November 2020. San Guillermo (a small town of 9,000) has not been able to hold its elections yet) [Part III.D].",https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e21?prd=OCC19#law-occ19-e21-div2-9
Argentina,Emergency powers,Stay-at-home orders,Yes [Part IV.A.1].,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e21?prd=OCC19#law-occ19-e21-div3-14
Argentina,Emergency powers,Sunset provisions on stay-at-home orders,Not mentioned.,NA.
Argentina,Emergency powers,"Stay-at-home orders
proper (timewise)?",Yes (emergency declaration 12 March 2020 / restrictions imposed on 19 March 2020).,https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e21?prd=OCC19#law-occ19-e21-div2-2 ; https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e21?prd=OCC19#law-occ19-e21-div3-14
Argentina,Emergency powers,Parliament continued to meet?,"Severe interruption and suspension of activities: Congress was inactive for two months and remained closed for weeks [Part III.B]. More than a month after the imposition of public health measures, the opposition asked to resume activities. Congress resumed regular activities on 13 May 2020.",https://oxcon.ouplaw.com/view/10.1093/law-occ19/law-occ19-e21?prd=OCC19#law-occ19-e21-div2-7
Argentina,Emergency powers,Did Parliament continue to meet?,0,NA.
